epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
59,1446.97,1.26896,1.93855,0.02787,0.49516,0.52492,0.48455,0.30926,1.76297,2.28652,0.06071,0.0005645,0.0005645,0.0005645
60,1470.16,1.30154,1.9072,0.02769,0.54127,0.54332,0.50464,0.31754,1.75273,2.25882,0.06069,0.00053975,0.00053975,0.00053975
61,1493.76,1.2774,1.91278,0.02811,0.48093,0.52976,0.513,0.32825,1.75992,2.21834,0.06096,0.000515,0.000515,0.000515
62,1516.38,1.27018,1.9327,0.02792,0.53238,0.53495,0.5117,0.32806,1.75952,2.2441,0.06084,0.00049025,0.00049025,0.00049025
63,1546.47,1.2877,1.94638,0.02775,0.58164,0.48657,0.49718,0.30948,1.80346,2.13402,0.06284,0.0004655,0.0004655,0.0004655
64,1578.77,1.30518,1.87376,0.02834,0.49539,0.54946,0.52306,0.33141,1.75427,2.15499,0.06065,0.00044075,0.00044075,0.00044075
65,1604.45,1.23897,1.85331,0.02716,0.46036,0.60599,0.53005,0.3333,1.75784,2.17719,0.06096,0.000416,0.000416,0.000416
66,1635.72,1.2907,1.82786,0.02855,0.45543,0.5874,0.49888,0.30879,1.78905,2.1685,0.06234,0.00039125,0.00039125,0.00039125
67,1663.52,1.27013,1.85347,0.0272,0.57134,0.48014,0.51317,0.3234,1.8424,2.19428,0.06412,0.0003665,0.0003665,0.0003665
68,1697.35,1.25642,1.79803,0.02786,0.55112,0.47902,0.51897,0.3297,1.79797,2.17695,0.06234,0.00034175,0.00034175,0.00034175
69,1723.35,1.20356,1.77443,0.02609,0.48994,0.5105,0.50999,0.31682,1.81726,2.24862,0.06322,0.000317,0.000317,0.000317
70,1747.74,1.24751,1.78373,0.0267,0.51522,0.52534,0.51866,0.32347,1.81711,2.25592,0.06306,0.00029225,0.00029225,0.00029225
71,1775.91,1.30531,1.57572,0.04212,0.46488,0.61128,0.48677,0.29722,1.90835,2.28721,0.06641,0.0002675,0.0002675,0.0002675
72,1799.66,1.28756,1.50394,0.0421,0.55982,0.52653,0.48203,0.29882,1.90141,2.22388,0.0664,0.00024275,0.00024275,0.00024275
73,1818.74,1.28583,1.43527,0.0419,0.49959,0.54799,0.50972,0.31908,1.86091,2.26335,0.06513,0.000218,0.000218,0.000218
74,1839.44,1.20702,1.39969,0.0383,0.54049,0.54203,0.51505,0.33182,1.77124,2.25711,0.06156,0.00019325,0.00019325,0.00019325
75,1868.95,1.27631,1.38716,0.04145,0.51362,0.53524,0.52917,0.34181,1.78825,2.22339,0.06217,0.0001685,0.0001685,0.0001685
76,1893.1,1.22171,1.32606,0.03873,0.52081,0.53347,0.53051,0.33985,1.77907,2.22947,0.06156,0.00014375,0.00014375,0.00014375
77,1910.23,1.21459,1.3884,0.03868,0.56291,0.52184,0.51352,0.32798,1.79437,2.21073,0.0625,0.000119,0.000119,0.000119
78,1927.26,1.21681,1.35673,0.03863,0.53774,0.52818,0.51143,0.32573,1.79676,2.20786,0.06268,9.425e-05,9.425e-05,9.425e-05
79,1944.5,1.17596,1.32378,0.03745,0.52041,0.5431,0.51181,0.32524,1.79366,2.23042,0.06254,6.95e-05,6.95e-05,6.95e-05
80,1962.29,1.19193,1.27151,0.038,0.51933,0.55372,0.52045,0.33148,1.77612,2.24737,0.06187,4.475e-05,4.475e-05,4.475e-05
